#{"t_start": 1753265541.635224, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.656093
-500.0,500,5.333009
-500.0,500,7.831719
-500.0,500,10.405886
-445.0,446,12.648595
-346.0,347,14.594121
-500.0,500,16.932064
-500.0,500,19.218222
-500.0,500,21.522886
-500.0,500,23.814255
-500.0,500,26.109178
-500.0,500,28.371376
-500.0,500,30.814875
-500.0,500,33.300863
-500.0,500,35.551855
-500.0,500,38.446368
-500.0,500,40.953499
-500.0,500,43.514775
-500.0,500,45.815022
-500.0,500,48.044273
-500.0,500,50.275631
-500.0,500,52.610268
-500.0,500,55.144446
-500.0,500,57.485173
-500.0,500,60.179858
-478.0,479,62.580528
-500.0,500,64.954594
-500.0,500,67.352229
-500.0,500,69.607136
-500.0,500,71.860896
-500.0,500,74.189597
-500.0,500,76.555572
-420.0,421,78.463203
-500.0,500,80.718858
-500.0,500,83.020407
-500.0,500,85.411062
-500.0,500,87.863735
-500.0,500,90.191896
-500.0,500,92.672578
-500.0,500,95.517577
-379.0,380,97.790022
-500.0,500,100.550605
-500.0,500,103.111094
-500.0,500,105.467669
-500.0,500,107.69202
-500.0,500,109.945142
-500.0,500,112.291641
-500.0,500,114.734673
-500.0,500,117.260907
-442.0,443,119.608012
-500.0,500,121.815385
-500.0,500,124.061545
-500.0,500,126.418203
-500.0,500,128.870133
-500.0,500,131.338305
-466.0,467,133.776481
-500.0,500,135.976477
-500.0,500,138.218226
-500.0,500,140.461386
-453.0,454,142.422377
-500.0,500,144.873128
-289.0,290,146.776758
-500.0,500,149.218421
-255.0,256,150.926038
-440.0,441,153.098847
-300.0,301,154.606034
-500.0,500,157.091734
-500.0,500,159.567402
-500.0,500,161.811607
-500.0,500,164.077327
-500.0,500,166.321362
-500.0,500,168.515849
-470.0,471,170.690839
-500.0,500,173.451334
-500.0,500,175.91082
-500.0,500,178.414316
-500.0,500,180.822801
-500.0,500,183.063793
-500.0,500,185.361294
-500.0,500,187.701776
-500.0,500,190.146766
-500.0,500,192.562263
-500.0,500,195.256747
-500.0,500,197.674244
-500.0,500,200.128724
-500.0,500,202.67172
-500.0,500,204.919218
-500.0,500,207.232704
-400.0,401,209.051695
-500.0,500,211.419192
-435.0,436,213.581678
-500.0,500,215.98167
-500.0,500,218.368168
-500.0,500,221.054156
-310.0,311,222.971642
-500.0,500,225.414049
-500.0,500,227.828131
-500.0,500,230.299121
-500.0,500,232.496606
-500.0,500,234.956702
-385.0,386,236.999241
-500.0,500,239.393034
-387.0,388,241.277106
-500.0,500,243.826162
-435.0,436,245.88996
-386.0,387,247.999962
-500.0,500,250.718242
-263.0,264,252.272887
-500.0,500,254.997342
-500.0,500,257.637878
-429.0,430,259.854702
-266.0,267,261.670157
-316.0,317,263.544355
-415.0,416,265.385907
-311.0,312,267.596303
-379.0,380,269.488435
-458.0,459,271.549647
-383.0,384,273.730345
-431.0,432,276.0903
-383.0,384,278.064719
-393.0,394,280.147933
-441.0,442,282.149848
-431.0,432,284.489293
-500.0,500,286.854547
-251.0,252,288.810835
-370.0,371,291.037978
-215.0,216,292.558908
-303.0,304,294.419534
-293.0,294,296.189157
-370.0,371,298.107013
-284.0,285,299.697902
-500.0,500,301.955092
-371.0,372,303.934742
-322.0,323,305.704201
-260.0,261,307.333918
-303.0,304,309.449064
-334.0,335,311.289525
-346.0,347,313.35716
-371.0,372,315.251783
-305.0,306,316.774014
-236.0,237,318.665132
-317.0,318,320.447751
-300.0,301,322.33038
-333.0,334,324.112495
-203.0,204,325.605349
-383.0,384,327.772486
-500.0,500,330.26015
-229.0,230,331.837251
-500.0,500,334.114989
-301.0,302,335.60511
-277.0,278,337.178723
-166.0,167,338.973263
-343.0,344,341.132715
-312.0,313,343.221881
-281.0,282,344.854492
-242.0,243,346.309088
-153.0,154,347.345157
-240.0,241,348.693758
-274.0,275,350.215466
-277.0,278,351.665601
-228.0,229,353.362307
-216.0,217,354.893919
-249.0,250,356.502531
-129.0,130,357.627614
-166.0,167,358.865844
-173.0,174,360.046427
-156.0,157,361.621037
-258.0,259,363.410166
-182.0,183,364.819271
-188.0,189,366.150856
-152.0,153,367.629964
-183.0,184,368.827047
-208.0,209,370.149632
-168.0,169,371.364713
-138.0,139,372.632803
-163.0,164,374.02561
-173.0,174,375.551716
-237.0,238,377.020324
-170.0,171,378.321911
-131.0,132,379.409481
-176.0,177,380.907584
-207.0,208,382.520687
-183.0,184,383.934287
-172.0,173,385.507387
-143.0,144,386.605959
-162.0,163,387.751071
-140.0,141,389.102168
-119.0,120,390.530256
-165.0,166,392.168525
-147.0,148,393.616121
-159.0,160,394.822362
-221.0,222,396.242951
-214.0,215,397.641804
-194.0,195,399.39293
-124.0,125,400.440095
-233.0,234,401.886577
-187.0,188,403.243167
-188.0,189,404.717273
-224.0,225,406.220874
-182.0,183,407.974291
-207.0,208,409.359658
-114.0,115,409.555671
-155.0,156,411.058798
-147.0,148,412.27093
-160.0,161,413.38202
-175.0,176,414.573165
-128.0,129,416.085776
-151.0,152,417.687414
-165.0,166,419.08541
-175.0,176,420.2349
-150.0,151,421.6954
-132.0,133,423.190785
-95.0,96,423.352292
-114.0,115,424.553912
-126.0,127,425.723007
-99.0,100,426.946755
-91.0,92,427.931256
-149.0,150,429.179569
-270.0,271,430.66622
-189.0,190,431.835664
-108.0,109,433.140995
-134.0,135,434.525798
-157.0,158,435.874894
-122.0,123,437.157937
-113.0,114,437.351951
-110.0,111,438.715053
-109.0,110,439.930639
-98.0,99,441.026215
-93.0,94,442.032285
-79.0,80,442.173316
-90.0,91,443.170409
-79.0,80,444.104823
-110.0,111,445.424414
-78.0,79,445.55792
-104.0,105,446.541987
-101.0,102,447.556055
-117.0,118,448.735212
-116.0,117,449.855294
-123.0,124,451.336782
-306.0,307,453.114297
-379.0,380,454.952421
-123.0,124,455.984531
-138.0,139,457.002062
-88.0,89,457.963433
-109.0,110,459.187832
-87.0,88,459.338339
-111.0,112,460.506433
-90.0,91,461.452636
-99.0,100,462.419707
-86.0,87,462.565214
-100.0,101,463.615788
-85.0,86,464.640152
-168.0,169,466.009981
-108.0,109,466.978544
-247.0,248,468.467352
-79.0,80,468.603376
-165.0,166,470.007793
-142.0,143,471.113453
-113.0,114,472.187906
-162.0,163,473.406636
-154.0,155,474.450623
-112.0,113,475.732119
-104.0,105,476.732138
-125.0,126,477.827441
-178.0,179,478.97951
-91.0,92,480.185284
-82.0,83,481.170868
-108.0,109,482.291822
-131.0,132,483.807524
-142.0,143,485.119118
-92.0,93,485.277256
-95.0,96,486.312872
-111.0,112,487.547716
-130.0,131,488.590145
-112.0,113,489.599242
-109.0,110,490.608249
-161.0,162,491.752149
-112.0,113,492.686505
-122.0,123,493.6912
-112.0,113,494.657029
-185.0,186,495.909212
-115.0,116,497.039845
-115.0,116,498.211998
-107.0,108,499.131608
-106.0,107,500.019735
-117.0,118,501.211883
-99.0,100,501.382395
-99.0,100,502.572608
-146.0,147,503.711693
-132.0,133,505.189837
-96.0,97,506.399569
-121.0,122,507.481146
-107.0,108,508.499062
-114.0,115,509.494535
-129.0,130,510.610089
-93.0,94,511.534651
-123.0,124,512.77083
-103.0,104,512.947845
-114.0,115,514.284091
-116.0,117,515.622918
-153.0,154,516.888012
-177.0,178,518.328235
-143.0,144,519.412597
-125.0,126,520.488659
-226.0,227,521.83386
-94.0,95,521.993369
-115.0,116,523.302593
-121.0,122,524.534312
-110.0,111,525.731396
-146.0,147,526.916389
-219.0,220,528.598531
-117.0,118,529.638494
-112.0,113,530.673167
-142.0,143,531.723743
-119.0,120,532.80232
-127.0,128,533.896455
-112.0,113,534.962541
-112.0,113,535.949969
-128.0,129,537.245368
-139.0,140,538.567503
-123.0,124,539.808663
-95.0,96,539.973673
-134.0,135,541.544102
-146.0,147,543.005699
-128.0,129,544.341793
-129.0,130,545.544465
-101.0,102,546.788545
-125.0,126,547.002561
-109.0,110,548.230426
-94.0,95,549.656523
-122.0,123,550.759096
-136.0,137,551.809385
-138.0,139,552.994401
-168.0,169,554.503902
-137.0,138,555.906904
-116.0,117,557.326891
-113.0,114,557.518888
-139.0,140,559.164883
-109.0,110,559.351882
-146.0,147,560.796372
-105.0,106,560.975369
-110.0,111,562.244872
-106.0,107,563.417867
-131.0,132,564.453356
-135.0,136,565.590859
-86.0,87,566.750855
-130.0,131,567.883848
-114.0,115,568.963339
-102.0,103,570.250841
-134.0,135,571.716328
-106.0,107,571.898341
-101.0,102,573.15583
-107.0,108,574.230319
-135.0,136,575.262315
-107.0,108,576.559311
-214.0,215,577.905814
-144.0,145,579.10281
-143.0,144,580.245293
-372.0,373,582.057289
-109.0,110,583.043286
-117.0,118,584.315281
-141.0,142,585.942275
-121.0,122,587.17827
-124.0,125,588.516772
-115.0,116,590.044766
-120.0,121,591.302257
-141.0,142,592.981248
-148.0,149,594.25675
-121.0,122,595.594241
-112.0,113,596.771737
-120.0,121,598.051229
-124.0,125,599.411224
-162.0,163,600.873649
-185.0,186,602.26372
-89.0,90,603.602206
-146.0,147,604.703773
-108.0,109,605.652844
-213.0,214,607.066304
-129.0,130,608.270201
-109.0,110,609.437279
-117.0,118,609.642291
-142.0,143,611.283898
-123.0,124,612.676988
-116.0,117,612.877547
-83.0,84,614.153116
-127.0,128,615.28769
-100.0,101,616.230757
-133.0,134,617.400329
-118.0,119,618.382895
-115.0,116,619.363961
-159.0,160,620.66616
-153.0,154,621.761732
-126.0,127,623.014745
-159.0,160,624.160332
-103.0,104,625.658936
-128.0,129,626.95534
-129.0,130,628.314947
-111.0,112,629.619536
-99.0,100,630.733106
-161.0,162,631.832354
-123.0,124,633.05995
-144.0,145,634.234547
-122.0,123,635.64074
-121.0,122,637.017833
-286.0,287,638.809823
-90.0,91,640.141173
-104.0,105,641.372053
-116.0,117,642.39524
-114.0,115,643.423116
-144.0,145,644.561389
-136.0,137,645.626041
-117.0,118,646.656158
-218.0,219,648.088926
-139.0,140,649.505055
-136.0,137,650.771034
-101.0,102,651.854826
-137.0,138,653.37377
-105.0,106,654.550971
-136.0,137,655.89658
-198.0,199,657.421627
-118.0,119,658.441875
-119.0,120,659.485506
-115.0,116,660.508122
-115.0,116,661.45899
-116.0,117,662.675122
-294.0,295,664.520437
-98.0,99,665.547505
-163.0,164,666.717989
-148.0,149,667.995812
-140.0,141,669.096342
-136.0,137,670.384929
-140.0,141,672.076571
-108.0,109,672.266584
-105.0,106,673.653893
-107.0,108,674.936817
-237.0,238,676.476427
-125.0,126,677.5075
-96.0,97,678.624114
-119.0,120,679.975353
-129.0,130,681.478374
-96.0,97,681.647388
-120.0,121,682.721429
-121.0,122,684.084906
-106.0,107,685.204737
-109.0,110,686.191544
-130.0,131,687.299513
-92.0,93,688.31625
-159.0,160,689.374976
-138.0,139,690.48529
-92.0,93,691.556868
-139.0,140,692.783961
-115.0,116,693.758463
-105.0,106,694.88404
-113.0,114,696.18474
-132.0,133,697.739151
-165.0,166,699.371303
-118.0,119,700.498319
-98.0,99,701.602695
-109.0,110,701.803569
-103.0,104,703.021064
-101.0,102,704.107617
-114.0,115,705.143171
-146.0,147,706.318758
-117.0,118,707.361944
-137.0,138,708.440532
-95.0,96,709.424117
-96.0,97,710.674284
-94.0,95,710.837385
-124.0,125,712.152991
-107.0,108,713.181075
-97.0,98,714.319672
-115.0,116,715.453324
-120.0,121,716.612934
-112.0,113,717.815083
-140.0,141,719.438317
-134.0,135,720.549519
-157.0,158,721.878173
-162.0,163,722.992363
-175.0,176,724.337506
-109.0,110,725.525154
-119.0,120,725.731184
-111.0,112,727.108844
-126.0,127,728.465989
-139.0,140,729.870282
-121.0,122,731.194476
-116.0,117,732.455134
-180.0,181,734.088311
-92.0,93,734.250344
-99.0,100,735.161552
-98.0,99,736.370672
-120.0,121,737.40878
-99.0,100,738.431868
-104.0,105,739.720191
-107.0,108,739.905206
-122.0,123,741.07334
-114.0,115,742.222928
-114.0,115,743.541267
-122.0,123,744.680887
-454.0,455,746.904672
-90.0,91,747.061805
-102.0,103,748.296899
-160.0,161,749.527006
-124.0,125,750.897707
-113.0,114,752.309853
-137.0,138,753.548557
-130.0,131,754.743674
-139.0,140,755.99931
-100.0,101,757.418485
-87.0,88,758.628587
-93.0,94,759.626345
-111.0,112,760.915994
-110.0,111,761.108006
-122.0,123,762.267153
-136.0,137,763.722839
-105.0,106,765.039966
-122.0,123,766.475078
-105.0,106,767.707846
-119.0,120,768.808458
-123.0,124,769.829587
-183.0,184,770.969212
-100.0,101,772.371383
-196.0,197,773.689017
-109.0,110,774.709103
-115.0,116,776.004351
-207.0,208,777.522983
-101.0,102,778.647084
-107.0,108,779.671909
-145.0,146,780.888004
-97.0,98,781.792583
-120.0,121,782.999301
-236.0,237,784.46505
-113.0,114,784.841093
-109.0,110,786.058238
-116.0,117,787.147438
-95.0,96,788.257031
-87.0,88,789.265117
-105.0,106,789.446135
-122.0,123,790.57331
-117.0,118,791.854516
-137.0,138,793.166211
-173.0,174,794.701437
-126.0,127,795.842147
-114.0,115,797.158972
-115.0,116,798.455525
-99.0,100,798.626031
-132.0,133,799.910417
-134.0,135,801.137423
-121.0,122,802.556987
-138.0,139,803.989892
-124.0,125,805.637989
-119.0,120,806.976567
-102.0,103,808.18731
-114.0,115,809.144443
-107.0,108,810.140016
-104.0,105,811.067352
-112.0,113,812.110548
-103.0,104,812.288562
-124.0,125,813.756794
-112.0,113,815.203603
-95.0,96,816.401397
-131.0,132,817.455122
-105.0,106,818.489187
-128.0,129,819.529456
-96.0,97,820.510949
-91.0,92,820.668291
-103.0,104,821.83893
-153.0,154,823.243562
-103.0,104,824.633679
-96.0,97,825.858288
-91.0,92,826.864384
-98.0,99,827.031451
-81.0,82,828.18662
-108.0,109,829.151698
-97.0,98,830.07728
-97.0,98,830.244789
-212.0,213,831.765284
-113.0,114,832.910859
-98.0,99,833.946929
-106.0,107,835.23759
-106.0,107,835.422601
-105.0,106,836.792813
-169.0,170,838.307415
-120.0,121,839.845046
-98.0,99,840.018057
-101.0,102,841.237009
-118.0,119,842.338606
-111.0,112,843.408178
-141.0,142,844.524752
-103.0,104,845.5697
-154.0,155,846.701907
-113.0,114,847.702974
-124.0,125,848.748046
-122.0,123,849.816785
-103.0,104,850.720357
-110.0,111,851.886034
-94.0,95,852.047543
-173.0,174,853.431118
-199.0,200,854.860261
-145.0,146,856.082257
-94.0,95,857.361759
-130.0,131,858.574754
-117.0,118,859.77775
-108.0,109,860.824745
-110.0,111,861.810741
-130.0,131,862.908232
-104.0,105,863.947736
-138.0,139,865.250731
-103.0,104,866.464219
-90.0,91,866.620725
-112.0,113,867.786723
-98.0,99,868.790209
-91.0,92,869.700769
-135.0,136,870.945961
-114.0,115,872.278524
-99.0,100,872.448538
-105.0,106,873.674538
-124.0,125,874.721608
-121.0,122,875.968197
-116.0,117,876.99723
-113.0,114,878.037681
-111.0,112,878.988788
-139.0,140,880.205109
-90.0,91,881.099047
-103.0,104,881.278376
-103.0,104,882.420897
-180.0,181,883.94523
-99.0,100,884.115251
-112.0,113,885.51557
-110.0,111,886.762796
-109.0,110,887.774921
-114.0,115,888.832541
-108.0,109,889.894175
-101.0,102,891.150321
-128.0,129,892.595508
-172.0,173,893.93276
-89.0,90,894.905885
-90.0,91,895.060903
-84.0,85,896.109605
-140.0,141,897.189293
-121.0,122,898.445441
-110.0,111,899.451568
-82.0,83,900.42575
-94.0,95,900.586774
-101.0,102,901.678085
-144.0,145,902.896228
-115.0,116,904.267396
-105.0,106,905.25695
