#{"t_start": 1753259365.9088461, "env_id": "LunarLander-v3"}
r,l,t
-284.491957,114,0.089505
-171.728661,116,0.171012
-125.849319,66,0.216012
-229.832442,84,0.274518
-125.583535,101,0.343024
-188.519927,108,0.419025
-139.049064,92,0.482532
-120.21611,95,0.547038
-141.238944,100,0.615542
-107.702833,76,0.666049
-95.123908,64,0.710049
-140.681094,118,0.791555
-285.293193,85,0.849061
-119.727375,82,0.905061
-99.154265,77,0.957568
-142.639713,64,1.002568
-101.052644,110,1.080075
-211.49689,70,1.127076
-372.710514,99,1.19758
-165.405544,92,1.260087
-94.22882,68,1.306087
-109.443296,72,1.356593
-159.386961,83,1.416593
-126.945956,89,2.888794
-302.102382,73,2.937796
-242.964839,116,3.015804
-87.016002,80,3.070311
-143.721214,67,3.118311
-111.13523,70,3.163818
-135.455008,75,3.219818
-66.778104,78,3.273325
-336.097764,108,3.348831
-243.884768,65,3.396831
-355.273315,123,3.484337
-63.348131,125,3.571843
-124.99517,93,3.636845
-52.391909,70,3.68935
-157.536391,87,3.748855
-284.100086,106,3.819855
-85.990131,75,3.869361
-389.119174,130,3.958868
-303.315788,90,4.018868
-52.804969,64,4.064374
-140.90837,103,4.133376
-99.379672,79,4.18988
-79.432512,71,4.238882
-81.629625,88,5.713658
-126.744742,78,5.768164
-26.315432,76,5.821164
-246.583274,108,5.894671
-115.092785,64,5.937672
-49.181395,113,6.018178
-312.699433,106,6.089684
-83.440866,69,6.135685
-56.029609,74,6.188189
-151.625928,72,6.237191
-29.111489,124,6.321696
-85.859268,86,6.380202
-89.957074,64,6.426202
-97.512658,118,6.508708
-105.223979,69,6.554214
-124.089194,111,6.631216
-283.954312,113,6.708721
-65.527595,127,6.796227
-319.706939,145,6.896736
-13.143635,79,6.953239
-250.192604,89,7.013239
-308.005981,142,8.525961
-346.535962,118,8.607467
-35.557863,106,8.679751
-111.938424,84,8.738753
-337.510103,108,8.813787
-168.310259,110,8.887293
-309.012228,115,8.965799
-18.46631,79,9.022799
-285.289796,113,9.101306
-154.672625,102,9.169812
-303.748364,120,9.254318
-104.763173,81,9.310318
-83.043153,74,9.363824
-281.506016,129,9.455331
-92.422536,80,9.512331
-206.29642,121,9.596837
-256.317549,107,9.672343
-185.425225,123,9.75885
-53.412352,76,9.811849
-117.513464,91,9.874356
-81.28521,71,11.340953
-42.956146,91,11.400458
-89.485147,86,11.458965
-288.444309,124,11.544472
-274.682012,90,11.608471
-174.539479,165,11.721978
-204.018008,113,11.796484
-156.874053,156,11.900991
-61.848238,67,11.946498
-70.513198,75,11.997498
-54.826319,67,12.0405
-250.512175,172,12.158511
-131.201468,140,12.254017
-37.819413,165,12.363524
-169.565991,115,12.44403
-78.805173,143,12.542034
-66.472869,65,12.587539
-39.351558,66,12.631541
-90.265413,100,12.699044
-72.198312,143,14.206421
-66.668163,127,14.291928
-193.659488,107,14.364512
-71.232254,118,14.446019
-202.561333,128,14.534153
-99.670952,73,14.584656
-70.592174,88,14.645164
-109.236957,125,14.732243
-111.866992,114,14.808747
-26.36645,86,14.870254
-110.089175,120,14.949859
-100.475185,109,15.024858
-209.243107,99,15.094366
-102.202976,103,15.162971
-252.983862,144,15.260478
-180.234092,96,15.328482
-64.12591,128,15.417986
-191.515842,90,15.481493
-212.843492,148,17.001011
-264.44276,124,17.084517
-151.813617,141,17.180139
-179.673401,156,17.285645
-79.766817,72,17.335773
-98.082267,113,17.413791
-89.224052,78,17.468825
-58.244998,102,17.539858
-97.184833,94,17.602363
-130.573558,94,17.666869
-113.638873,82,17.721869
-94.806875,115,17.803507
-96.294404,59,17.847014
-69.213421,155,17.954313
-147.270097,152,18.059712
-108.779353,119,18.145219
-146.307872,113,18.221219
-215.268825,118,18.305785
-72.717735,71,18.355291
-29.962759,186,19.899412
-79.431043,106,19.97392
-182.961274,119,20.052458
-248.464739,120,20.13546
-141.801,92,20.197965
-94.396213,171,20.315584
-118.499054,109,20.393091
-195.681962,121,20.477598
-182.945718,180,20.602104
-189.208374,127,20.690611
-158.194011,122,20.773206
-90.861889,154,20.879713
-46.614424,85,20.936715
-93.329078,93,21.00122
-127.727811,112,21.078745
-42.000155,82,21.135747
-163.869995,129,22.645184
-232.504438,128,22.73469
-159.521549,126,22.824195
-66.97144,82,22.882701
-85.542276,81,22.940704
-97.153542,91,23.003945
-79.775665,133,23.097052
-69.777034,78,23.151621
-59.947384,150,23.256127
-129.723109,108,23.330127
-108.628448,110,23.408714
-81.761661,179,23.529221
-84.548724,91,23.592432
-40.725836,108,23.666043
-279.202258,187,23.793562
55.839349,1000,25.918388
-218.11227,149,26.02291
-69.314793,143,26.12243
4.210116,117,26.20395
-224.340669,159,26.313091
29.670036,138,26.413134
-177.90724,118,26.490315
-83.070967,90,26.55144
-192.738564,98,26.61844
-79.269668,90,26.682652
-170.224815,125,26.770703
-23.257069,148,26.87681
-182.376374,134,28.384418
-382.286218,210,28.526936
-59.799262,175,28.649952
-10.786813,164,28.764279
-52.666324,117,28.844282
-12.822101,173,28.965855
-90.028928,85,29.025855
-75.865077,230,29.187246
-76.970297,112,29.264281
-176.82535,107,29.339285
-119.93789,146,29.444512
-90.112171,141,29.54055
-254.634355,160,29.651861
-62.234777,130,29.740863
26.58779,303,31.376215
-112.037678,216,31.52739
-52.534435,118,31.610458
-179.464327,109,31.68655
-142.156901,175,31.805832
-50.31308,87,31.866081
-24.127697,96,31.93308
-193.356136,115,32.017275
-115.334965,138,32.113339
-41.664236,165,32.22746
-162.634029,197,32.359655
32.083012,141,32.458711
-169.08669,185,32.586768
-59.155738,140,34.10006
-6.08411,133,34.193091
-164.486818,103,34.264359
-74.671423,124,34.350362
-14.436046,127,34.446389
-52.579041,189,34.578485
-19.559038,153,34.690716
-110.575995,176,34.813831
-123.994777,159,34.926855
-330.461665,225,35.084717
-53.309064,135,35.177738
-63.660229,136,35.272896
-266.953965,222,35.427921
-226.126435,154,36.954123
-55.0442,179,37.080054
-280.374899,277,37.270644
-316.305703,181,37.393831
-243.88297,172,37.518337
-315.450001,210,37.657877
-282.670428,166,37.773386
-140.353822,244,37.946894
-314.318276,109,38.0244
-324.700821,138,38.120907
-375.762716,189,38.254417
-40.465876,131,39.75454
-10.630935,138,39.849048
-292.072521,283,40.047066
-152.117719,201,40.185079
-81.941116,255,40.362097
-49.630488,143,40.463576
-208.697212,273,40.652084
-79.988919,124,40.739575
-96.970381,248,40.913575
-271.540216,213,41.064574
-83.241019,198,42.621324
-72.110143,220,42.772614
-22.172872,296,42.97962
-30.351817,280,43.175633
51.677932,136,43.270141
-39.79924,88,43.331141
-39.862793,185,43.463154
-47.183984,149,43.56666
-37.41094,220,43.721168
-51.618955,244,43.890181
-62.840409,114,43.970687
-202.945217,272,45.565507
-31.406765,173,45.686013
-55.322366,156,45.795131
-28.927386,123,45.881672
24.949191,137,45.978179
-107.788186,177,46.101189
-16.891631,128,46.190324
-2.052744,167,46.306906
-30.165725,161,46.421413
55.319873,141,46.516052
-21.652592,108,46.596558
-13.859672,114,46.679133
-71.773822,140,46.77864
-31.785472,272,48.412362
-11.305391,111,48.493867
-244.277196,320,48.716881
-37.33183,307,48.92962
80.12458,1000,49.645923
-56.669836,202,51.207534
-128.959558,184,51.338042
-54.207474,270,51.52856
-141.577619,236,51.693574
-39.906673,226,51.852741
-22.72591,156,51.962752
-120.08438,221,52.117993
-78.44124,219,52.271006
44.574872,1000,54.410346
30.835373,1000,55.127047
83.370962,758,57.087353
-51.540398,197,57.222858
-147.932053,257,57.403871
-32.556504,186,57.537378
-24.181022,308,57.754012
-295.840634,534,58.124016
-2.678697,319,59.765503
63.960913,1000,60.482064
17.662979,1000,61.190101
-367.531785,464,62.938338
-310.337387,473,63.265574
-86.535168,322,63.491589
-119.858329,373,63.751605
-79.91747,453,65.494083
-134.464325,476,65.828678
59.020086,1000,66.539859
-56.935819,300,66.748875
-132.354825,588,68.581706
-6.650141,382,68.851727
78.289236,1000,69.568283
-14.686895,334,69.802297
68.934219,1000,71.946944
64.484666,1000,72.663998
64.604935,1000,74.796385
-11.530241,254,74.974397
15.971401,381,75.240524
30.563046,300,75.452539
92.670129,1000,77.595956
79.136839,1000,78.311212
38.000209,1000,80.430221
56.689762,1000,81.135278
9.057778,1000,83.251937
-359.340771,890,83.869929
-50.904189,540,85.659095
-40.868496,1000,86.372149
-126.827049,896,86.991092
38.20992,1000,89.092113
116.081484,1000,89.792726
77.592787,1000,91.918886
54.408634,1000,92.625959
37.112326,1000,94.741895
41.223769,1000,95.442226
30.888099,1000,97.58032
114.757658,1000,98.282867
131.32433,1000,100.384023
109.400737,1000,101.076566
76.222575,886,103.094217
-13.575433,1000,103.794765
-87.375267,595,105.606405
80.594378,1000,106.295948
23.74417,1000,108.443157
108.940041,1000,109.14263
67.26492,1000,111.299217
77.103416,1000,111.974772
92.233866,1000,114.105033
78.74543,1000,114.784583
100.548999,1000,115.489649
114.166094,1000,117.666317
121.794142,910,118.308371
83.080411,1000,120.477558
-60.641886,479,120.81508
80.791186,1000,122.922254
-42.027113,502,123.305287
96.461793,1000,124.008344
54.468706,1000,126.203048
98.031346,1000,126.922607
115.454681,1000,129.09629
90.574498,1000,129.822357
61.299353,1000,132.001078
134.708492,1000,132.699628
203.332741,560,134.493261
-106.014552,674,135.036799
85.633335,840,135.596344
114.632342,810,137.817878
-38.45013,325,138.10391
-195.159765,728,138.646967
83.717921,1000,141.054304
188.328522,514,141.447443
195.604206,448,141.788929
-31.0304,489,142.233248
8.381271,361,144.078768
195.441309,447,144.422573
-13.745596,401,144.698297
202.616728,630,145.170531
216.0372,620,147.159827
33.25568,1000,147.960641
211.833366,457,148.258296
194.473155,527,150.264445
259.909177,493,150.606544
-59.95234,632,151.043541
174.639578,791,152.990077
199.043,448,153.290138
259.907366,491,153.624314
233.514906,463,153.947835
3.483601,383,154.20635
180.175976,766,156.141496
261.917324,478,156.473644
-65.36501,643,156.909855
279.182476,345,157.15484
184.734452,587,158.965538
182.478991,631,159.408131
227.520469,588,159.802166
207.410371,638,161.64106
180.482519,595,162.054107
232.470034,504,162.398158
200.123158,482,162.728349
211.968086,526,164.487562
117.24726,1000,165.190145
248.651151,460,165.512684
196.163427,908,167.535382
-101.226406,751,168.025617
149.730088,862,169.993353
180.112073,595,170.384486
141.095187,891,170.966046
236.074172,512,172.712776
199.400633,521,173.061307
250.674777,575,173.444877
190.400353,620,173.844939
1.067985,1000,175.903695
180.323507,556,176.266218
192.977279,552,176.620254
133.500591,981,178.666661
-45.434599,1000,179.330259
174.618532,804,181.278567
134.89089,878,181.87864
-9.279641,1000,183.944981
-83.142725,543,184.305028
193.187331,585,184.689725
-93.822655,1000,186.749911
185.419695,544,187.10794
192.498553,505,187.430464
167.043616,642,189.241241
219.913399,734,189.732296
29.709675,1000,190.382518
147.60014,676,192.21823
7.924997,329,192.432257
-203.237141,702,192.898807
170.064395,959,194.917671
165.211085,626,195.328435
202.516367,553,195.678929
226.664375,499,197.404768
-44.9462,569,197.772305
192.475042,494,198.096338
190.784229,538,198.444863
196.410174,554,200.228711
176.67421,516,200.566232
217.99884,484,200.883763
213.628779,499,201.209792
187.502454,565,202.983082
137.706337,814,203.513127
222.764885,663,203.958161
220.726524,523,205.744426
-70.237507,659,206.204967
4.70869,426,206.510491
-31.904794,425,206.799016
188.572359,580,208.594835
174.893028,558,208.96536
-0.314021,341,209.190887
-65.120421,404,209.458905
-85.203368,586,211.248772
-45.20865,452,211.556295
162.705366,749,212.061448
255.558096,731,213.949662
205.946545,591,214.361702
123.864208,1000,215.026261
195.423592,515,216.765565
195.734999,813,217.308271
189.176836,452,217.607842
-23.890524,383,217.855858
206.620207,590,219.672572
-21.245312,388,219.935095
225.973058,783,220.464638
28.759161,1000,222.584994
204.814422,614,222.979028
228.83497,370,223.233553
158.442692,917,225.322513
221.99228,549,225.695547
225.883772,425,225.987565
268.872046,565,226.377232
201.872028,509,228.180492
238.38549,374,228.445015
226.358002,611,228.871054
-57.427078,387,229.143109
-7.253193,286,229.344308
12.709094,317,231.04699
244.747952,502,231.400032
94.461811,1000,232.105258
235.527343,490,233.940529
217.886783,466,234.273061
230.8559,401,234.560135
204.004542,471,234.890662
236.644503,465,235.202693
202.497668,453,236.925961
-7.262925,381,237.192482
221.443432,386,237.4625
220.299046,396,237.735636
-11.459906,431,238.034256
-25.077424,320,239.744914
208.94181,426,240.051439
228.481737,411,240.338972
-70.910081,279,240.539993
229.687863,398,240.819526
-30.31465,339,242.517742
-13.937604,319,242.735758
-18.136213,348,242.975779
243.982435,382,243.238307
-2.484891,313,243.457328
-3.889091,361,243.696375
-50.619242,296,243.899529
217.560607,409,245.641176
242.245539,359,245.881198
-54.258611,341,246.114729
-66.875003,355,246.355413
-37.44762,258,246.523415
-51.984004,392,248.203986
112.928972,1000,248.906553
216.084557,429,249.193909
-3.511831,304,249.403289
215.117581,441,251.124412
206.631863,529,251.472458
7.237774,242,251.631472
83.809053,1000,252.307016
189.273166,430,254.009423
185.088581,439,254.309801
-37.598848,428,254.603969
201.335395,576,255.009331
125.994492,1000,257.138701
241.826205,411,257.419769
-49.465606,362,257.653783
-12.902892,381,257.911372
241.19527,401,259.585253
111.297937,1000,260.258341
214.777956,430,260.546862
82.698442,1000,262.634633
223.372943,446,262.927775
212.907227,416,263.194791
125.562072,1000,265.263506
239.824137,417,265.535589
233.249478,467,265.835956
-3.078014,368,266.074562
-44.826174,360,266.310072
225.113439,409,267.999487
-36.783681,401,268.270582
203.352346,568,268.644675
72.507987,1000,270.737296
94.548446,1000,271.400843
211.506795,469,271.71174
-34.43969,353,273.392119
172.888018,863,273.991659
223.768106,638,274.427771
220.012087,394,274.689802
197.92472,505,276.462392
215.838863,460,276.775476
207.492568,449,277.081599
-28.536501,407,277.356985
233.676723,493,279.12657
218.367311,536,279.476115
222.484014,540,279.848165
212.190308,475,280.165711
221.361346,583,281.9834
221.241641,387,282.246927
217.008342,484,282.57948
115.330201,1000,284.655875
219.122162,593,285.055915
232.870964,391,285.319474
217.039802,384,285.576492
-37.993877,419,285.861037
195.455736,427,287.565916
185.949407,511,287.898442
204.841282,344,288.129962
149.697271,626,288.548632
-21.207348,381,290.210075
216.837524,362,290.456096
67.797648,1000,291.129651
199.588397,409,291.401668
125.154005,1000,293.480237
234.735366,343,293.709253
121.407825,689,294.172789
249.583778,344,295.801627
228.566017,497,296.135653
-30.972839,423,296.420175
-2.376308,244,296.584189
-47.477534,199,296.718204
215.247561,426,297.004852
209.044682,404,298.674826
-17.22482,223,298.825839
232.793649,397,299.089852
222.791531,437,299.384088
-14.246442,229,299.537101
137.593297,1000,301.642418
210.329075,388,301.902434
232.770466,406,302.175722
199.490979,373,302.421993
2.210842,210,302.561074
-38.985857,397,304.222659
-36.2853,370,304.469853
204.519017,338,304.695021
217.330371,434,304.987796
-27.959591,294,305.185332
207.249759,386,306.842291
203.560573,342,307.067481
-23.610874,188,307.195576
-28.55058,293,307.394746
225.278631,388,307.652011
239.102836,398,307.914026
-19.8337,367,308.157546
-3.669011,398,309.829355
10.513318,367,310.072877
169.165598,415,310.349511
208.825233,394,310.612528
181.094685,517,310.960553
120.93002,699,312.843686
212.652217,383,313.101699
191.597563,403,313.37522
215.468503,628,315.218977
200.402621,593,315.608005
224.662222,402,315.875527
231.397956,371,316.113543
154.17858,522,316.454073
199.914504,471,318.176124
149.870843,406,318.450566
235.756734,379,318.69657
221.899201,384,318.942073
-28.815659,297,319.133071
214.920013,402,320.793121
-11.868715,284,320.975135
249.34402,393,321.234654
182.499655,405,321.502237
-35.263597,328,321.720757
93.891206,1000,323.838906
208.74609,418,324.115921
219.04896,403,324.387439
231.889032,359,324.630959
-82.638502,300,324.836765
-42.557623,246,326.491913
-14.745076,242,326.679929
-77.142945,431,327.006451
-55.006052,344,327.25797
214.290763,639,327.72505
-16.151221,385,329.448984
212.828671,367,329.703999
203.172491,424,330.009524
130.568393,553,330.403553
217.618874,400,330.679075
233.724102,288,332.322199
-31.199195,317,332.544214
-42.4659,352,332.789227
-42.65225,258,332.970242
237.811172,362,333.217763
207.125927,381,333.478837
-40.135197,275,335.087629
-33.077332,393,335.353151
-17.192315,294,335.555164
-19.853548,322,335.767177
-40.980634,390,336.037698
236.020323,385,336.294712
202.833636,387,337.991835
162.892838,441,338.292355
187.226091,397,338.564873
6.770768,1000,340.664016
-68.095202,311,340.873029
-32.094801,325,341.091043
168.827744,480,341.415566
239.841909,357,341.651083
-50.617158,335,341.878095
204.564151,670,343.727725
78.176321,1000,344.37927
209.976192,492,344.708793
-21.256746,323,346.328403
-11.203043,360,346.559416
184.481447,505,346.907936
216.419124,440,347.197453
205.432733,413,347.477973
-25.441547,210,349.052593
202.924307,424,349.347112
224.895887,397,349.615126
206.910702,422,349.886643
-40.78711,377,350.135161
194.827814,475,351.849771
183.562507,548,352.215291
66.788921,1000,352.873338
-27.804186,414,354.547949
-49.364863,334,354.776961
205.390213,453,355.07448
204.522213,423,355.350001
-44.46346,443,355.63952
205.586622,482,357.351149
244.475758,421,357.632669
-94.226209,329,357.843681
163.170786,463,358.151199
-39.247521,344,358.387212
218.16444,417,360.073822
4.50739,289,360.274835
154.673808,447,360.583354
-26.023811,414,360.867377
197.370572,453,361.174897
69.993134,1000,363.255751
218.29986,349,363.483764
215.254719,407,363.760283
197.801752,452,364.070803
-23.987672,339,365.707422
211.881592,443,365.997941
-23.202514,426,366.28746
194.23175,422,366.576982
-62.891537,400,366.8545
198.513337,415,368.538117
224.606939,454,368.82814
237.521787,434,369.107152
212.871171,450,369.402672
194.228293,430,369.68119
211.909047,432,371.373812
188.862376,393,371.633331
-38.960955,317,371.840344
-54.766979,260,372.006851
46.020199,1000,374.080998
214.294418,401,374.347517
182.019768,676,374.805542
-13.926899,353,375.040061
221.319083,412,376.724676
186.04897,453,377.024702
237.352658,382,377.272718
-28.053835,294,377.461732
75.343669,1000,379.544434
194.71822,438,379.833952
219.490097,386,380.086964
-79.327787,404,380.352483
194.03706,410,380.629
205.292408,423,382.310617
159.489702,507,382.631634
205.846494,437,382.903647
221.838384,338,383.127165
200.726142,476,383.447684
210.056048,408,385.21681
217.241669,384,385.458329
227.042138,423,385.728849
211.469834,400,385.999865
-27.895309,413,386.27839
146.239009,502,388.057032
220.221044,383,388.308045
234.85028,430,388.600572
220.239797,414,388.880098
-61.225041,344,389.115625
141.238078,604,390.922773
122.586559,1000,391.573334
81.358399,1000,393.716515
-63.931317,463,394.024044
146.175158,533,394.38107
225.496299,434,394.671594
114.072128,1000,396.807773
-69.176562,421,397.089296
202.98191,487,397.401823
11.802612,347,399.007941
234.209948,459,399.326965
154.691066,641,399.776994
185.140348,690,400.256525
-45.559396,239,400.418033
208.370245,408,402.089285
-38.174391,420,402.371811
-71.979657,480,402.700332
-66.123102,239,402.865849
244.096924,403,403.138376
-59.686984,361,404.77849
-67.278688,358,405.027007
-104.65687,371,405.278021
-73.411896,312,405.491034
221.390287,390,405.748557
200.144646,361,405.992569
207.377478,544,407.761202
224.598995,464,408.082721
208.26778,384,408.348252
194.541288,454,408.659772
187.588076,414,410.324813
97.724128,1000,411.027861
-104.041633,406,411.304876
-23.691689,315,411.52089
211.365192,776,413.443582
-3.05044,231,413.603089
224.700747,505,413.948117
-57.387243,565,414.336142
